spolecnost	sidlo	rok_zalozeni	stari	stáří	NACE-CZ	prav_forma	zahr_kapital	pocet_zam	obrat2008	zamereni	zamereni_text	1a	1b	1c	1d	1e	1f	1g	1h	2a_vyuz	2a_plan	2a_spok	2b_vyuz	2b_plan	2b_spok	2c_vyuz	2c_plan	2c_spok	2d_vyuz	2d_plan	2d_spok	2e_vyuz	2e_plan	2e_spok	2f_vyuz	2f_plan	2f_spok	2g_vyuz	2g_plan	2g_spok	2g_text	2h_vyuz	2h_plan	2h_spok	2i_vyuz	2i_plan	2i_spok	2j_vyuz	2j_plan	2j_spok	2k_vyuz	2k_plan	2k_spok	2l_vyuz	2l_plan	2l_spok	2l_text	3	3_text	4a	4b	4c	4d	4e	4f	4g	5a	5b	5c	5d	5e	5f	5g	5h	5i	5j	5k	5l	5m	5n	5o	5p	5r	5r_text	6a_1	6a_2	6a_3	6a_4	6a_5	6a_6	6b_1	6b_2	6b_3	6b_4	6c	6d	6e	6f	6g	6h	6h_text	7	8a	8b	8c	8d	8e	8f	8g	8h	8i	8i_text	8j	9	10	11a	11b	11c	11d	11e	11f	12a	12b	12c	12d	12e	12f	12f_text	13a	13b	13c	13d	13e	13f	13f_text	14	15	15_text
DAMOVO Česká republika s.r.o.	Praha	1992	2	2	IT	s.r.o.	1	2	2	2		5	4	5	5	5	4	5	1	3		5	3		5				3		5	1		4		1		1		4	ISO, ITIL	1		4		1			1		1		3					1		5	5	5	5	3	3	3	5	5	5	5	5	3	3	3	4	3	1	4	5	5	3	5			0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0		2	0	0	0	0	0	0	0	0	0		1	1	3	1	1	1	1	1	1	1	1	0	1	1	0		1		5	5	1			1	1	provedena restrukturalizace a turnround společnosti
David Drbal - Obchodní činnost	Kojetín	2001	2	2	Obchodní a zprostředkovatelská činnost	FO	2	1	1	3		3	3	5	2	5	3	1	3		1			1			2		1		3		2			1							2			2					1		2					1		5	5	2	4	2	3	2	5	3	3	3	4	4	3	3	3	5	2	3	3	4	2	2			0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0		1	0	0	0	0	0	0	0	0	0		1	3	3	0	0	0	0	0	0	1	0	0	0	0	0		3	3	1	3	2			2	2	
DECRO BZENEC,spol.s r.o.	Bzenec	1995	2	2	Výroba a montáž plastových a hliníkových oken  ,dveří a zimnívh zahrad.	s.r.o.	2	3	4	1		5	5	5	5	5	5	5	5	2			2			2			2			2			2			2			ISO,CERTIFIKACE	2			2			2			2									5	5	5	4	4	5	4	4	5	4	4	5	5	4	4	4	4	4	5	5	4	4	4			0	1	0	1	1	0	1	0	1	0	0	0	1	0	1	0		2	1	1	0	1	1	0	1	1	0		0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	KLAES,VEMA	2	4	1	1	3			1	1	Důslednější analýza jednotlivých projektů.
Dencop Lighting	Zlín - Malenovice	1995	2	2	Velkoobchod	s.r.o.	2	2	3	3		2	2	3	2	2	1	5	5	3		4	3		4	3		4	3		4		2			2			1				2			2			2			2						1		4	4	3	5	3	3	3	5	4	5	5	4	4	3	4	3	3	4	4	3	4	4	4			1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0		2	1	1	0	1	0	0	1	1	0		0	1	2	0	0	0	0	0	0	1	0	0	0	0	0		4	4	4	4	1			2	1	Snaha zavést v nejbližším termínu v širším měřítku
DESIGN CIS, s.r.o.	Šumperk	1995	2	2	Poradenské a servisní služby (ICT, EU)	s.r.o.	2	2	1	2		5	4	5	4	5	5	3	4	3		4		1			2			1			1			1			1				1			2			2			1						1		5	5	3	5	4	4	5	5	5	3	4	5	5	4	4	3	5	4	4	3	5	5	4			1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0		1	1	1	0	1	1	1	0	0	0		0	1	2	0	0	0	0	0	0	1	1	0	0	0	0		3	3	5	4				1	1	Důslednější analýzy nákladů, výnosů a efektivity
DHL Information Services (Europe), s.r.o.	Praha	2004	3	2	IT služby	s.r.o.	1	4	4	2		5	5	4	4	4	4	3	2	3		4	3		3	2		4	3		4		1			1		2		3	ISO 9000/14000, CMMI	2		3		2			1		3		3					1		4	4	4	3	4	3	3	3	3	3	3	4	4	4	3	3	3	4	4	4	4	4	4			1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	0		2	1	1	0	1	1	1	1	1	0		0	1	2	0	1	1	1	0	1	1	1	0	1	0	0		2	3	4	4	2			1	2	
Direct Parcel Distribution CZ s.r.o.	Modletice 135, 251 01 Říčany u Prahy	1994	2	2	zasilatelství	s.r.o.	1	3	4	2		5	4	5	4	4	5	4	3	3		4	3		5	2		4	3		5	1		4		2		1		4	interní audit	3		4		2		1	2	5	1		5					1		5	4	5	4	5	3	5	5	4	5	5	5	5	5	5	5	5		5	5	5	4	4			1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0		2	1	1	0	1	1	0	0	0	0		0	1	3	1	1	1	1	0	1	1	1	0	0	0	0	Intranet, interní SW	1	3	4	5	3	5	sezonnost	1	1	větší důraz na KPI´s
Direct Pojišťovna, a.s.	Praha 7	2006	3	3	Pojišťovací činnost	a.s.	1	3	3	2		3	4	3	3	3	3	3	2	1		3	1		3	1		3	1		3		1			2			1			1		4	1		3	1		5	1		4					1		4	5	4	3	3	4	4	3	5	3	4	5	5	5	4	2	5	2	4	3	4	3	4			0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0		2	0	0	0	0	0	0	0	0	1		0	1	2						0	0	0	0	0	0	1		1	5	1	3	2			1	2	
D-Klima	Pustiměř	2002	3	2	Výroba ostatních strojů a zařízení pro všeobecné účely j. n.	s.r.o.	2	3	2	1		5	4	5	5	5	5	3	5	3		5	3		4		2		3		5	3		5		2		2		4		2		4		2		3		5	3		5		2			1		5	4	5	5	5	3	3	5	5	5	5	5	5	5	5	4	5	5	5	5	5	4	4			0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0		2	0	0	0	1	1	0	0	0	0		0	1	3	0	1	1	1	1	1	1	0	0	0	0	0		5	1	3	5	2			1	1	intenzivnější přístup ke kontrolám
Domácí potřeba D&K	Uh. Brod	1993	2	2	Maloobchod s elektrospotřebiči a elektronikou	s.r.o.	2	2	1	3		3	3	3	1	5	5	1	1	3		4		2			2			1			2			2			2			1		3		2			2			1						3		5	5	3	5	3	5	1	5	5	5	5	5	5	5	1	5	5	1	3	3	3	1	3			0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0		3	1	0	0	1	1	0	0	0	0		0	2	3	0	0	0	0	1	1	0	1	0	0	0	0		1	5	5	3	3			2	2	
DOMEG & V	Pustiměř	2006	3	3	doprava, mechanizace	s.r.o.	2	2	1	2		2	5	4	3	5	4	4	5	2		5	2		5		1		2		3		1			1																						1		5	5	3	5	5	5	3	5	5	5	5	4	5	5	5	4	4	5	5	5	5	3	4			0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0		1	0	0	0	0	0	0	0	0	0		1	1	3	0	0	1	0	1	1	1	0	0	0	0	0		3	2	2	5	4			1	1	
Dřevopar, s.r.o.	Loštice	1992	2	2	16.10	s.r.o.	2	3	1	1		4	4	4	4	5	4	4	4	2		3	2		3		2			2			1			1			2				1			2			1			1						3		4	5	4	4		4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4			0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		1	1	0	0	1	1	0	1	0	0		0	2	3	1	0	1	0	0	1	1	0	0	0	0	0		3	3	2	3	1			2	2	
DT mostárna	Prostějov	2006	3	3	Výroba ocelových mostních konstrukcí	a.s.	1	2	1	1		4	4	3	2	3	3	5	4	2		3	2		3		2			2			2			2		3		5	ISO normy		2			2			2			2						2		4	5	4	4	3	5	1	4	5	4	4	5	5	5	4	3	3	5	3	4	5	1	3			0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0		1	1	0	0	0	0	0	1	1	0		0	3	3	0	0	0	1	1	1	1	0	0	0	0	0		5	1	3	3	4			2	2	
DURA Automotive Systems CZ	Kopřivnice	2001	2	2	Dodavatel automobilového průmyslu	s.r.o.	1	4	4	1		4	5	4	2	5	3	2	3	3		3	3		3	3		2	3		4		2			1		3		3		3		3	3		3	3		2	3		4					1		5	4	3	2	4	2	3	1	4	2	4	5	4	2	5	3	2	5	4	4	4	3	2			1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0		1	0	0	0	1	0	1	0	0	0		0	1	3	1	1	1	1	1	1	1	1	0	0	0	0		4	1	2	2	2	5	Krize	1	2	
DURA-LINE CT	Tlumačov	1993	2	2	222100	s.r.o.	1	3	4	1		5	5	5	4	5	5	4	4	3		5	3		4	1			3		5	1		5		1		3		5	ISO 2001	1		5		2			1			1						1		5	5	4	4	5	5	4	5	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5			0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0		2	1	0	0	1	1	0	0	0	0		0	1	1	1	1	1	1	1	1	1	0	0	0	0	0		3	1	3	4	1	4	sezonnost	1	1	plánování cílů, nový systém odměňování
Ecom	České Meziříčí	1991	2	2	Distribuce elektronických součástek, obchodní č.	s.r.o.	2	2	3	3		5	5	3	5	5	5	1	1	3		5	3		5	3		3	3		5		2			2		3		5	ISO 9001	3		1	3		5	3		3	3		5					2		5	5	2	5	1	1	1	5	5	5	5	5	5	5	5	5	5		5	5	4		5			0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0		3	0	0	0	0	0	0	0	0	0		0	1	3	0	1	1	1	0	1	0	0	0	0	0	1	vlastní software	5	1	1	1	5			2	2	
Edwards, s.r.o.	Lutín	2001	2	2	výroba vakuových pump	s.r.o.	1	3	4	1		5	5	5	5	4	4	5	3	2		5	2		4	1		3	2		3	2		5	2		4	2		4		1		3	2		4	1		4	2		4					1		5	5	5	4	4	4	5	5	5	5	5	3	4	5	5	5	4	5	5	4	2	3	3			1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	0		2	0	1	0	1	1	1	0	0	0		0	1	1	1	1	1	1	1	1	1	1	0	1	0	0		1	1	3	2	2			1	1	
EGE	České Budějovice	1992	2	2		s.r.o.	2	4	4	1		3	5	5	5	4	5	2	1	2		5	3		5		2		3		5		1			2		2		3	náklady na reklamace	3		3		2			2			2			2			1		5	2	3	5	4	1	2	4	5	5	4	4	4	5	4	3	3	5	4	5	5	4	3			0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	hrubá výroba	1	1	1	0	1	1	0	1	0	0		0	1	2	1	1	1	0	1	1	1	1	0	1	0	0		2	1	2	5	4			2	1	
EKO - UNIBAU	Praha	1995	2	2	Nakládání s odpadky s výjimkou odpadů nebezpečných	a.s.	2	1	1	2		3	3	3	1	3	4	1	3		1			2			2			2			2			2			2				2			2			2			2			2			4		5	4	3	3	3	4	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5			0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0		3	0	0	0	0	0	0	0	1	0		0	2	3	0	0	0	0	1	0	1	0	0	0	0	1	inisoft		5			5	5	obchodní vztahy	2		
EKO-KOM	Praha	1997	2	2	Autorizovaná obalová společnost 	a.s.	1	3	4	2		4	5	5	5	3	2	5	5	3		4		2			2		3		4	2		2		2			2			3		5		2			2		3		3		2			1		4	3	2	2	5	1	4	1	5	5	5	3	5	3	2	1	1	5	5	2	2	4	5			0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0		2	1	0	0	0	0	0	0	1	1		0	1	1	0	1	1	0			1	0	1	1	0	1		3	5	1	5	3			1	2	
Ekom CZ	Praha 10	2004	3	2	Ekologické služby a poradenství	a.s.	2	2	3	2		5	5	5	4	5	5	5	5	3			3			2			2				2					3				2			1													1		5	5	3	4	4	5	5	5	5	5	4	5	5	5	4	4	4	1	4	4	4	4	5			1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0		1	1	1	0	1	0	0	0	0	0		0	1	1	1	1	1	1	1	1	1	0	0	0	0	0		4	4	1	3	4			1	2	
EKO-UH	Staré Město	1993	2	2	Stavebnictví	s.r.o.	2	2	1	4		4	5	5	3	5	5	4	5	3			3		5		2		3		4		2			2			2				2			2			2			2			2			1		5	4	4	5		5	4	5	5	5	5	4	5	5	5	4	4	4	5	4	5	4				0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		1	1	0	0	1	1	0	0	0	0		0	1	2	1	1	1	1	1	1	1	0	0	0	0	0		2	2	2	5	5	5	platební neschopnost odběratele	2	2	
Elitex slévárna	Zlín	2003	3	2	Strojírenská výroba	a.s.	1	4	3	1		3	2	4	2	2	4	2	3	3		3	3		4	3		4		2			2			2			2				2			2			2			2						3		3	4	4	3	1	3	3	5	4	4	4	5	4	4	5	3	3	5	3	3	4	3	2			0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0		1	1	0	0	1	0	0	0	1	0		0	1	2							0	0	0	0	1	0		2	2	4	4	1			2	2	
ELMO	Zlín	1991	2	2	montáž, opravy, údržba vyhrazených elektrických zařízení a výroba rozvaděčů nízkého napětí	s.r.o.	2	3	4	2		4	5	5	5	5	3	4	5	3		5	3		5	3		4	3		4	2		4	2		3	3		4	Interní audity systému řízení jakosti	2		4	3		4		2		3		4		1			1		5	5	5	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	5	4	5	4	4			0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0		2	1	0	0	1	1	1	0	0	0		0	1	2	0	1	0	0	1	1	1	0	0	0	0	1					5				2	1	
ELPOS Josef Tkadlec	Vsetín	1991	2	2	Maloobchod s ostatními výrobky převážně pro domácnost ve specializovaných prodejnách	s.r.o.	2	3	3	3		3	3	4	1	5	5	1	3	3		4	3		4		2			1			2			1							2			2			2		2							4	Dlouhodobým cílem je spokojený a vracející se zákazník	4	5	3	4	3	4	1	5	3	4	4	4	5	4	5	3	4		3	3	4	1	3			0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	1	obchodní marže	1	1	0	0	1	0	0	0	1	0		0	1	3	0	1	0	1	0	1	1	0	0	1	0	0		1	5	3	1	3	5	sezónnost		1	Větší nátlak ze strany banky
ELSEREMO	Brumov-Bylnice	1999	2	2	stavební činnost	a.s.	2	3	3	2		2	5	4	4	4	4	2	2	3		5		2			2			1			2			2		2		4	ISO 9001		2			2			2		3		5					1		5	5	3	4	4	5	5	3	5	4	3	5	5	5	4	2	3	4	5	5	5	3	3			0	1	1	1	1	0	1	0	0	0	1	0	0	1	0	0		2	1	1	0	1	1	0	0	0	0		0	3	2	1	0	1	1	1	1	1	0	0	0	0	0		2	4	2	3	5			1	2	
emco s r.o.	Praha	1991	2	2		s.r.o.	2	3	4	3		4	4	3	3	3	4	1	1	3		3	3		4		2		3		2		2			2		3		2	ISO		2			2			2			2						1		3	5	2	3		2	4	5	3	4	4	4	4	4	3	3	4	3	3	3	3	4	3			0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0		1	0	0	0	1	0	0	0	0	0		0	1	3	0	1	1	0	0	1	1	0	0	1	0	0		1	4	1	3				2	2	
EMEA	Hulín	2003	3	2	projektová činnost ve výstavbě	s.r.o.	2	3	3	2		5	5	4	5	5	4	4	5	2		3	2		3		2		2		3		2			2			1			2		3	1		3		2			2						1		3	4	3	4	3	4	4	5	4	5	4	4	4	4	3	3	4	4	3	3	3	3	4			0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0		2	1	1	0	1	1	0	0	0	0		0	1	2	1	1	0	0	1	1	1	0	0	0	0	0		3	4	3	4	4			1	2	
EN & KA	Ústí nad Orlicí	2000	2	2	Silniční motorová nákladní doprava	s.r.o.	2	2	1	2		5	5	5	4	5	4	5	4	3		3		2			2		3		4		2			2			2				2			2			2			2			2			1		5	5	3	4	3	5	3	5	5	5	5	5	5	5	4	5	3	2	5	3	3	3	3			0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0		2	0	0	0	0	0	0	0	0	0		1	1	3	0	0	0	0	1	1	1	0	0	0	0	1	RAAL, ENTRY	5	2	1	5	1			2	1	
ENFIN CZ	Masarykovo náměstí 162	1998	2	2	Maloobchodní prodej	a.s.	2	3	3	3		5	5	5	3	5	5	1	5	3		3	3		3		1			2			2			2			2				2			2			2			2						1		5	5	4	4		4	3	3	3	2	2	3	4	4	3	4	4	2	4	2	4	1	1			0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0		1	1	0	0	0	0	0	0	0	0		0	1	3				1	1	1	1	0	0	0	0	0		2	4	1	2	4			2	2	
Engraving art studio	Uherský Brod	1992	2	2	Umělecko-rytecké zpracování kovů	a.s.	2	1	1	1		5	3	5	3	5	5	3	3		1			2			2			2			2			1			2				2			2			2		3							3		5	5	5	5	1	1	5	3	3	5	5	5	5	5	5	3	5	3	5	3	5	3	3			0	1	0	1	1	0	1	1	0	0	1	0	0	1	1	0		3	0	1	1	1	0	0	0	1	0		0	2	1	1	1	1	1	1	0	0	0	0	0	0	1		5	1	1	3	3			1	2	
EUROCORP	Valašské Klobouky	1998	2	2	Obchod	s.r.o.	2	2	1	3		4	4	3	3	2	3	4	4	3		4	1		4		1		3		4		1			1		3		4			1			1			1			1						3		5	4	3	4	4	4	5	5	5	4	4	4	2	3	3	4	5	5	5	4	4	4	4			0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0		1	1	0	0	0	1	1	0	1	0		0	1	3	1	1	1	0	0	1	1	1	0	0	0	0		5	1	2	4	3			2	2	
Eva Sedláčková - Karosářské díly	Horká nad Moravou	1996	2	2	Kování, lisování, ražení, válcování a protlačování kovů;  prášková metalurgie	OSVČ	2	1	1	1		3	5	3	3	1	3	5	1	1		1		2			2			2			2			2			2															2		1	vlastní nástroje, vždy některé vybrané 2 výše uvedené	3		5	5	3	3	2	3	3	5	5	5	5	5	4	4	4	5	5	4	4	4	4	3	3	4	motivace a komunikace se zaměstnanci	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0		3	1	0	0	0	0	0	0	1	0		0	2	3	0	0	0	0	0	0	1	0	0	0	0	0		4	1	1	4	5	5	kurzové změny (CZK/EUR)	2	2	
Evobus Bohemia s.r.o.	Praha 6, Ruzyně, Na Hůrce 211/10, PSČ 16100	1998	2	2		S.r.o.	1	4	4	1		3	4	3	5	4	3	3	2	2		3	2		5		1		2		4		2			2		3		5	ISO TS 16949, ISO 90001								2			1		2		5	MLSK - system Daimler	1		3		5	4		4	4	5	4	5	5	4	4	2	5	3	2	5	5	5	4	1	1	1		1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0		1	1	1	0	0	0	1	0	0	0		0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	SAP - MLSK	5	1	1	5	3			1	1	náklady,investice
Exekutorský úřad	Olomouc	2003	3	2	Exekutorská činnost	FO	2	3	1	2		1	1	5	1	1	5	1	1	3		5	3		5		2			2			2			2			2				2			2			2			2			2			3		3	3	5	4		1	1	2	2	1	2			1	4	1	1	4	3	3	4	1				0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		1	1	0	0	0	1	0	0	0	0		0	1	3	0	0	0	0	0	0	1	1	1	1	1	1						5			1	2	
Exekutorský úřad Kroměříž	Kroměříž	2004	3	2	Poskytování právních služeb	FO	2	1	1	2		4	3	5	2	4	5	3	5	2		4		2			2		2		2		2			2			2				2			2			2		2		2					1		5	4	4	5	5	1	4	4	4	4	4	5	4	4	3	3	3	4	2	3	3	3	5			0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0		3	0	0	0	0	0	0	0	0	0		0	2	3	0	0	0	0	0	0	0	0	0	0	0	0		1	1	2	3	4			1	2	
Exekutorský úřad Přerov	Přerov	2001	2	2	exekuční činnost	FO	2	3	3	2		1	1	2	3	1	2	3	1	3		2	2		3		1		2		1		1		2		2	1		3	interní školení		1			1					2		2					1		1	1	2	2		2	2	2	1	1	2	2	1	1	2	3	4	2	1	1	2	3	2			1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0		2	1	1	0	0	0	0	0	0	0		0	1	2	1	1	0	1	1	1	1	0	0	0	0	0		3	2	3	3	1			1	2	
Factoring Česke spořitelny a.s.	Praha	1997	2	2	finanční služby	a.s.	1	2	4	2	finančnictví	5	5	3	4	4	4	5	1	2			2			2			2			2			2			1			měřění spokojenosti klientů	2				2			2		3							1		5	5	5	3	4	2	4	5	4	5	5	4	5	4	4	1	4	4	5	4	4	5	3			0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0		1	1	0	0	0	0	0	0	0	0		0	1	1							0	0	0	1	1	0		1	1	2	5	3			2	2	
FANA	Zašová	1990	1	1	Stavební - izolace	s.r.o.	2	2	1	1		4	3	2	2	2	3	3	2		1		2		3	2		4		2			2			2			2				2			2			1			1						1		4	4	3	4	3	4	4	4	4	4	4	5	5	5	4	3	3	4	4	2	4	4	3			0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0		3	1	0	0	1	0	0	0	0	0		0	3	2	1	0	0	1	1	1	1	0	0	0	0	0		3	1	1	4	2					
FANS	Praha 4	1992	2	2	Výroba a opravy zemědělských a lesnických strojů	a.s.	2	3	4	1		5	5	4	3	4	3	3	3	3		4	2		4		1		1		3		1			1		2		4			1			2			2			2			2			1		5	4	3	3	2	4	5	4	5	4	4	5	5	4	3	2	4	4	5	3	4	4	2			0	1	1	1	0	0	1	1	0	1	0	0	0	1	1	0		2	1	0	0	1	1	1	1	1	0		0	1	2	1	0	1	1	1	1	1	0	0	1	0	0		2	1	3	4	4			1	2	
FAVEA	Kopřivnice	1994	2	2	Výroba homogenizovaných potravinářských přípravků a dietních potravin	s.r.o.	2	3	3	1		5	3	2	3	3	5	3	5		1			1		1		4	1		4		2			1		3		5	SOP odpovídající SÚKLU		2			2			2			2						1		5	4	4	5	4	4	3	3	5	4	4	4	4	5	4	3	5	5	5	3	4	5	5			0	1	1	1	1	0	1	0	0	0	1	0	0	1	0	0		1	1	0	0	1	1	0	0	0	0		0	1	2	0	0	0	0	0	0	1	1	0	0	0	0		5	3	3	5	3			2	1	
Fibertex, a.s.	Svitavy	1949	1	1	139500	a.s.	1	3	4	1		5	4	3	4	3	3	5	3	3		4	2		5		2		3		5		2			2					ISO 9001, TS 16949		1			2			1			1			1		Six Sigma	1		3	4	4	4		3	3	4	4	3	4	4	5	5	4	5	4	5	5	4	3	4				1	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0		1	1	0	0	1	1	0	0	0	0		0	1	3	0	1	1	1	0	1	1	1	0	0	0	1	Discoverer	5	1	3	5	4			1	2	
financni skupina Wuestenrot	Praha	1993	2	2	financni sluzby	a.s.	1	4	4	2		4	4	3	5	3	4	3	3	3		5	2		4	1		5	3		3		2		2		4		2			3		4		2			2			1						1		5	5	4	4	3	3	4	5	5	4	5	4	4	3	4	2	3	1	4	3	4	3	4	1		0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	rizikova marze	1	1	0	0	1	1	1	1	1	0		0	1	1	1	1	1	0	1	1	1	0	0	1	1	0		5	4	1	1	5		vyvoj financnich trhu	1	1	pravidelne mereni (snizeni frekvence mereni)
Fincentrum	Praha	2001	2	2	Zprostředkování obchodu, pojišťovací a makléřská činnost	a.s.	2	4	4	3		4	5	4	4	4	5	4	5	3		3		2			2		2		4		2			2						3		4		2			2		2		4					1		5	5	4	2	5	5	5	4	5	5	4	5	5	5	4	3	5	3	4	4	5	4	5			0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	počet nových zákazníků	2	0	0	0	1	1	0	0	0	0		0	1	3	0	0	0	0	0	0	1	0	0	0	0	0		1	3	1	3	4			1	2	
FOR JOB PROTECT	Zlín - Malenovice	2000	2	2	velkoobchod 	s.r.o.	2	2	2	3		3	4	3	4	3	5		3	2		4	1		5		2			1		2		4	2		4		2				2			2			2			1						1		5	4	2	3	3	2	3	5	5	5	5	5	5	5	2	4	5	2	4	4	4	2	3			0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0		1	0	0	0	1	1	0	0	0	0		0	3	3	0	0	1	1	0	1	1	0	0	0	0	0			5	1	5	2			1	2	
FORM	Horní Lideč	1991	2	2	Výroba radiátorů a kotlů k ústřednímu topení, kovových nádrží a zásobníků	s.r.o.	2	3	2	1			4							3		5		1			1		3		5		1		3		5					2		5		2			2			2						3		5	5	4	5	3	5	3	4	5	5	5	4	5	4	4	4	5	5	5	4	4	3	3			1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0		2	1	0	0	1	1	0	0	0	0		0	1	3	1	1	1	1	1	1	1	0	0	0	0	0		3	2	3	3	2			2	2	
Formika	Dolní Němčí	1992	2	2	vstřikování plastů	s.r.o.	2	2	2	1		5	3	3	3	5	4	4	5	1		3		1			1		2		5		1			1			1			2		4		2			2			2						1		5	5	4	4	4	5	4	5	5	5	4	5	5	5	4	4	4	4	4	3	5	4	4			1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0		2	1	0	0	0	1	1	0	0	0		0	1	3	1	1	1	1	1	1	1	0	0	0	0	0		4	4	4	4	5			2	1	
FOXCONN CZ, s.r.o.	Pardubice	2000	2	2	vyroba	s.r.o.	1	4	4	1		5	5	5	5	5	5	3	2	3		3	3		4	2		4	3		4	2		4	2		4					3		4				2		4	2		4					1		4	5	4	5	4	5	5	4	5	4	4	5	5	5	5	4	5	5	5	4	5	4	4			1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0		2	0	1	0	1	1	1	1	0	0		0	1	1	0	1	1	1		1	1	0	0	1	0	0			4		5				1	1	
Fresenius Hemocare s.r.o.	Hořátev	2005	3	3	výroba PZT	s.r.o.	1	4	4	1		5	5	4	4	5	4	3	4	2		3	2		3		2		2		4		1			1		2				2		3		1			1		2		3					1		4	4	5	4	4	4	4	5	4	4	5	3	4	4	4	3	3	4	4	4	5	4	4	1		1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0		2	0	1	0	1	1	0	1	0	0		0	1	2	0	1	1	1	1	1	1	1	0	0	0	0		3	1	2	3	2	1		2	2	
FrostFood a.s.	Rokytnice v Orlických horách	1994	2	2	výroba mrazených potravin	a.s.	2	3	4	1		5	4	4	3	5	5	2	3	3		4	3		4		2		3		4	3		3	2		2		1				1			2			2			2			2			1		5	5	4	4	5	4	4	5	5	4	4	4	5	5	4	3	4	4	4	4	4	4	3			1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0		2	0	1	0	1	0	0	0	0	0		0	1	3	1	1	1	1	1	1	1	1	0	0	0	0		2	4	1	1	2			2	1	vyšší důraz na sledování náklady
GASTROMA	Strabenice	1998	2	2	potravinářství	a.s.	2	3	4	3		5	3	5	3	4	5	4	5	3		5	3		5		1		3		5		1		2		3	3		5	HACCP	1		3	1		3		1			1						1		5	5	3	3	3	3	5	5	5	5	5	5	5	5	3	5	5	5	5	3	3	5	2			1	1	0	0	0	0	1	0	1	0	1	1	0	1	1	1	Z-skóre	2	0	1	0	0	0	0	0	0	0		0	2	1	1	1	0	1	1	1	1	0	0	1	0	0		4			5				1	1	reorganizace
GEA Goedhart 	Nymburk	1994	2	2		s.r.o.	1	3	4	1		5	4	5	3	4	4	3	1	3		5	3		5	3		4	3		5		2			2		3		4		3		5		2		3		5	1	1	4					3		4	5	4	4	5	4	4	4	4	4	4	5	5	4	3	4	4	5	4	4	5	4	4			0	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0		2	0	0	0	1	1	0	0	0	0		0	1	3	1	1	1	1	1	1	1	1	0	0	0	0		1	1	1	4	3			1	2	
